Date,Price
2017/4/7,1715.743268
2017/4/10,1726.127726
2017/4/12,1728.435383
2017/4/14,1716.897096
2017/4/17,1708.820295
2017/4/21,1707.666467
2017/4/25,1713.43561
2017/4/27,1713.43561
2017/4/28,1707.666467
2017/5/2,1706.512638
2017/5/4,1698.435837
2017/5/5,1692.666694
2017/5/8,1716.897096
2017/5/9,1756.127272
2017/5/10,1756.127272
2017/5/18,1780.357674
2017/5/19,1678.820749
2017/5/22,1739.97367
2017/5/23,1739.97367
2017/5/24,1741.127499
2017/5/25,1746.896642
2017/5/26,1746.896642
2017/6/2,1765.357901
2017/6/16,1708.820295
2017/6/19,1775.74236
2017/6/20,1757.281101
2017/6/21,1765.357901
2017/6/22,1753.819615
2017/6/23,1753.819615
2017/6/26,1787.280647
2017/6/27,1791.895961
2017/6/28,1811.511049
2017/6/29,1811.511049
2017/6/30,1811.511049
2017/7/4,1818.434021
2017/7/5,1827.664651
2017/7/6,1827.664651
2017/7/7,1827.664651
2017/7/10,1784.972989
2017/7/11,1712.281782
2017/7/12,1742.281328
2017/7/13,1743.435156
2017/7/14,1696.12818
2017/7/17,1712.281782
2017/7/18,1708.820295
2017/7/19,1715.743268
2017/7/20,1704.204981
2017/7/21,1678.820749
2017/7/24,1690.359036
2017/7/25,1693.820522
2017/7/26,1700.743495
2017/7/27,1721.512411
2017/7/28,1721.512411
2017/7/31,1730.743041
2017/8/1,1708.820295
2017/8/2,1711.127953
2017/8/3,1706.512638
2017/8/4,1704.204981
2017/8/7,1720.358582
2017/8/8,1722.66624
2017/8/9,1722.66624
2017/8/10,1708.820295
2017/8/11,1699.589666
2017/8/14,1699.589666
2017/8/15,1708.820295
2017/8/16,1707.666467
2017/8/17,1679.974578
2017/8/18,1726.127726
2017/8/21,1750.358128
2017/8/22,1738.819842
2017/8/23,1736.512184
2017/8/24,1764.204073
2017/8/25,1738.819842
2017/8/30,1728.435383
2017/8/31,1675.359263
2017/9/1,1679.974578
2017/9/4,1730.743041
2017/9/5,1730.743041
2017/9/6,1730.743041
2017/9/7,1730.743041
2017/9/8,1730.743041
2017/9/13,1698.435837
2017/9/14,1698.435837
2017/9/15,1698.435837
2017/9/26,1707.666467
2017/9/27,1790.742133
2017/9/28,1774.588531
2017/9/29,1833.433794
2017/10/2,1948.816664
2017/10/9,1948.816664
2017/10/10,1773.434702
2017/10/11,1773.434702
2017/10/12,1818.434021
2017/10/13,1919.970946
2017/10/16,1919.970946
2017/10/17,1963.816437
2017/10/18,1974.200895
2017/10/19,1961.508779
2017/10/20,2001.892784
2017/10/26,1951.124321
2017/10/27,1983.431525
2017/10/30,2000.738955
2017/11/14,2072.276334
2017/11/15,2091.891422
2017/11/16,2103.429709
2017/11/17,2082.660792
2017/11/20,2094.199079
2017/11/21,2068.814848
2017/11/22,2117.275653
2017/11/23,2117.275653
2017/11/24,2099.968223
2017/11/27,2133.429255
2017/11/28,2111.50651
2017/11/29,2140.352227
2017/12/1,2120.737139
2017/12/4,2196.889833
2017/12/18,2169.197944
2017/12/25,2199.19749
2017/12/26,2308.811216
2017/12/27,2281.119328
2017/12/28,2323.810989
2017/12/29,2439.193859
2018/1/2,2533.807812
2018/1/4,2519.961867
2018/1/9,2380.348595
2018/1/12,2174.967088
2018/1/15,2031.89233
2018/1/31,2891.494707
2018/2/7,2337.656934
2018/5/9,2109.198852
2018/5/10,2109.198852
2018/5/11,2109.198852
2018/7/13,2030.738501
